x,time
0,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0.006
3600,0.006
3700,0.006
3800,0.006
3900,0.006
4000,0.006
4100,0.007
4200,0.007
4300,0.007
4400,0.007
4500,0.007
4600,0.008
4700,0.008
4800,0.008
4900,0.008
5000,0.008
5100,0.009
5200,0.009
5300,0.009
5400,0.009
5500,0.009
5600,0.009
5700,0.009
5800,0.01
5900,0.01
6000,0.01
6100,0.01
6200,0.01
6300,0.01
6400,0.011
6500,0.011
6600,0.011
6700,0.011
6800,0.011
6900,0.011
7000,0.012
7100,0.012
7200,0.012
7300,0.012
7400,0.012
7500,0.012
7600,0.013
7700,0.013
7800,0.013
7900,0.013
8000,0.013
8100,0.014
8200,0.014
8300,0.014
8400,0.014
8500,0.015
8600,0.015
8700,0.016
8800,0.016
8900,0.016
9000,0.016
9100,0.017
9200,0.017
9300,0.017
9400,0.018
9500,0.018
9600,0.018
9700,0.018
9800,0.018
9900,0.019
10000,0.019
10100,0.019
10200,0.019
10300,0.02
10400,0.02
10500,0.02
10600,0.021
10700,0.021
10800,0.021
10900,0.021
11000,0.021
11100,0.021
11200,0.022
11300,0.022
11400,0.022
11500,0.022
11600,0.022
11700,0.023
11800,0.023
11900,0.023
12000,0.023
12100,0.023
12200,0.023
12300,0.024
12400,0.024
12500,0.024
12600,0.024
12700,0.025
12800,0.025
12900,0.026
13000,0.026
13100,0.026
13200,0.026
13300,0.027
13400,0.028
13500,0.028
13600,0.029
13700,0.029
13800,0.029
13900,0.029
14000,0.03
14100,0.03
14200,0.03
14300,0.03
14400,0.031
14500,0.031
14600,0.031
14700,0.031
14800,0.032
14900,0.032
15000,0.033
15100,0.033
15200,0.034
15300,0.034
15400,0.035
15500,0.035
15600,0.035
15700,0.036
15800,0.036
15900,0.036
16000,0.037
16100,0.037
16200,0.037
16300,0.038
16400,0.038
16500,0.038
16600,0.039
16700,0.039
16800,0.039
16900,0.039
17000,0.04
17100,0.04
17200,0.04
17300,0.041
17400,0.041
17500,0.041
17600,0.042
17700,0.042
17800,0.044
17900,0.044
18000,0.045
18100,0.045
18200,0.046
18300,0.046
18400,0.046
18500,0.047
18600,0.047
18700,0.047
18800,0.048
18900,0.048
19000,0.049
19100,0.049
19200,0.049
19300,0.05
19400,0.05
19500,0.051
19600,0.051
19700,0.052
19800,0.052
19900,0.052
20000,0.053
20100,0.053
20200,0.053
20300,0.054
20400,0.054
20500,0.054
20600,0.054
20700,0.055
20800,0.055
20900,0.055
21000,0.056
21100,0.056
21200,0.056
21300,0.056
21400,0.057
21500,0.057
21600,0.058
21700,0.059
21800,0.059
21900,0.06
22000,0.06
22100,0.061
22200,0.061
22300,0.062
22400,0.062
22500,0.063
22600,0.063
22700,0.064
22800,0.064
22900,0.065
23000,0.065
23100,0.065
23200,0.066
23300,0.066
23400,0.067
23500,0.067
23600,0.067
23700,0.068
23800,0.068
23900,0.068
24000,0.069
24100,0.069
24200,0.07
24300,0.07
24400,0.07
24500,0.071
24600,0.071
24700,0.071
24800,0.072
24900,0.072
25000,0.073
25100,0.073
25200,0.074
25300,0.075
25400,0.075
25500,0.075
25600,0.076
25700,0.076
25800,0.076
25900,0.077
26000,0.078
26100,0.078
26200,0.079
26300,0.079
26400,0.079
26500,0.08
26600,0.08
26700,0.08
26800,0.081
26900,0.081
27000,0.082
27100,0.082
27200,0.082
27300,0.083
27400,0.083
27500,0.083
27600,0.084
27700,0.085
27800,0.085
27900,0.086
28000,0.087
28100,0.087
28200,0.088
28300,0.088
28400,0.089
28500,0.089
28600,0.089
28700,0.09
28800,0.09
28900,0.091
29000,0.091
29100,0.092
29200,0.092
29300,0.092
29400,0.093
29500,0.093
29600,0.093
29700,0.094
29800,0.094
29900,0.095
30000,0.095
30100,0.096
30200,0.124
30300,0.125
30400,0.125
30500,0.126
30600,0.127
30700,0.128
30800,0.129
30900,0.13
31000,0.131
31100,0.132
31200,0.133
31300,0.133
31400,0.134
31500,0.134
31600,0.135
31700,0.135
31800,0.136
31900,0.136
32000,0.137
32100,0.138
32200,0.139
32300,0.14
32400,0.14
32500,0.141
32600,0.141
32700,0.141
32800,0.142
32900,0.142
33000,0.143
33100,0.143
33200,0.144
33300,0.144
33400,0.144
33500,0.145
33600,0.145
33700,0.146
33800,0.147
33900,0.148
34000,0.148
34100,0.149
34200,0.15
34300,0.15
34400,0.151
34500,0.153
34600,0.154
34700,0.155
34800,0.155
34900,0.156
35000,0.157
35100,0.157
35200,0.158
35300,0.158
35400,0.159
35500,0.159
35600,0.16
35700,0.16
35800,0.161
35900,0.161
36000,0.162
36100,0.163
36200,0.163
36300,0.164
36400,0.164
36500,0.165
36600,0.166
36700,0.166
36800,0.167
36900,0.167
37000,0.167
37100,0.168
37200,0.168
37300,0.169
37400,0.169
37500,0.17
37600,0.17
37700,0.171
37800,0.171
37900,0.172
38000,0.173
38100,0.174
38200,0.175
38300,0.175
38400,0.175
38500,0.176
38600,0.176
38700,0.177
38800,0.177
38900,0.178
39000,0.178
39100,0.179
39200,0.179
39300,0.18
39400,0.181
39500,0.181
39600,0.182
39700,0.182
39800,0.183
39900,0.183
40000,0.184
40100,0.184
40200,0.185
40300,0.186
40400,0.187
40500,0.188
40600,0.189
40700,0.189
40800,0.19
40900,0.19
41000,0.191
41100,0.192
41200,0.192
41300,0.193
41400,0.194
41500,0.195
41600,0.195
41700,0.195
41800,0.196
41900,0.196
42000,0.197
42100,0.197
42200,0.198
42300,0.199
42400,0.199
42500,0.2
42600,0.201
42700,0.202
42800,0.203
42900,0.203
43000,0.204
43100,0.204
43200,0.205
43300,0.205
43400,0.207
43500,0.208
43600,0.209
43700,0.21
43800,0.21
43900,0.211
44000,0.211
44100,0.212
44200,0.212
44300,0.213
44400,0.214
44500,0.215
44600,0.216
44700,0.216
44800,0.217
44900,0.217
45000,0.218
45100,0.219
45200,0.22
45300,0.221
45400,0.222
45500,0.223
45600,0.224
45700,0.224
45800,0.225
45900,0.225
46000,0.227
46100,0.228
46200,0.229
46300,0.23
46400,0.23
46500,0.231
46600,0.231
46700,0.232
46800,0.233
46900,0.234
47000,0.235
47100,0.236
47200,0.237
47300,0.238
47400,0.239
47500,0.239
47600,0.24
47700,0.241
47800,0.242
47900,0.243
48000,0.244
48100,0.244
48200,0.245
48300,0.246
48400,0.246
48500,0.247
48600,0.248
48700,0.249
48800,0.25
48900,0.251
49000,0.252
49100,0.252
49200,0.253
49300,0.253
49400,0.254
49500,0.255
49600,0.257
49700,0.257
49800,0.258
49900,0.259
50000,0.259
50100,0.26
50200,0.26
50300,0.261
50400,0.262
50500,0.264
50600,0.264
50700,0.265
50800,0.265
50900,0.266
51000,0.267
51100,0.267
51200,0.269
51300,0.269
51400,0.271
51500,0.272
51600,0.29
51700,0.291
51800,0.291
51900,0.292
52000,0.293
52100,0.294
52200,0.295
52300,0.296
52400,0.297
52500,0.298
52600,0.3
52700,0.304
52800,0.305
52900,0.306
53000,0.306
53100,0.307
53200,0.307
53300,0.309
53400,0.31
53500,0.311
53600,0.312
53700,0.313
53800,0.314
53900,0.314
54000,0.315
54100,0.316
54200,0.316
54300,0.317
54400,0.318
54500,0.319
54600,0.321
54700,0.321
54800,0.322
54900,0.323
55000,0.323
55100,0.324
55200,0.326
55300,0.327
55400,0.327
55500,0.328
55600,0.328
55700,0.329
55800,0.33
55900,0.33
56000,0.332
56100,0.334
56200,0.334
56300,0.335
56400,0.336
56500,0.336
56600,0.337
56700,0.338
56800,0.339
56900,0.34
57000,0.341
57100,0.342
57200,0.343
57300,0.343
57400,0.344
57500,0.344
57600,0.346
57700,0.347
57800,0.348
57900,0.349
58000,0.349
58100,0.35
58200,0.35
58300,0.352
58400,0.353
58500,0.353
58600,0.355
58700,0.355
58800,0.356
58900,0.357
59000,0.357
59100,0.358
59200,0.359
59300,0.36
59400,0.361
59500,0.362
59600,0.363
59700,0.363
59800,0.364
59900,0.365
60000,0.366
60100,0.367
60200,0.368
60300,0.369
60400,0.37
60500,0.371
60600,0.371
60700,0.372
60800,0.373
60900,0.375
61000,0.376
61100,0.377
61200,0.377
61300,0.378
61400,0.379
61500,0.379
61600,0.381
61700,0.381
61800,0.382
61900,0.383
62000,0.384
62100,0.385
62200,0.385
62300,0.386
62400,0.387
62500,0.388
62600,0.389
62700,0.39
62800,0.391
62900,0.391
63000,0.392
63100,0.393
63200,0.394
63300,0.396
63400,0.397
63500,0.398
63600,0.399
63700,0.399
63800,0.401
63900,0.402
64000,0.403
64100,0.404
64200,0.405
64300,0.405
64400,0.406
64500,0.408
64600,0.409
64700,0.41
64800,0.41
64900,0.411
65000,0.412
65100,0.412
65200,0.413
65300,0.414
65400,0.415
65500,0.416
65600,0.417
65700,0.418
65800,0.419
65900,0.419
66000,0.42
66100,0.422
66200,0.423
66300,0.424
66400,0.425
66500,0.425
66600,0.426
66700,0.427
66800,0.429
66900,0.43
67000,0.431
67100,0.432
67200,0.433
67300,0.433
67400,0.434
67500,0.436
67600,0.438
67700,0.439
67800,0.44
67900,0.44
68000,0.441
68100,0.443
68200,0.445
68300,0.445
68400,0.446
68500,0.447
68600,0.448
68700,0.448
68800,0.45
68900,0.451
69000,0.452
69100,0.453
69200,0.453
69300,0.454
69400,0.455
69500,0.456
69600,0.458
69700,0.459
69800,0.46
69900,0.461
70000,0.462
70100,0.464
70200,0.465
70300,0.466
70400,0.467
70500,0.468
70600,0.469
70700,0.471
70800,0.472
70900,0.473
71000,0.474
71100,0.475
71200,0.475
71300,0.477
71400,0.479
71500,0.48
71600,0.481
71700,0.482
71800,0.483
71900,0.484
72000,0.485
72100,0.487
72200,0.488
72300,0.488
72400,0.49
72500,0.492
72600,0.493
72700,0.494
72800,0.495
72900,0.496
73000,0.497
73100,0.498
73200,0.499
73300,0.5
73400,0.501
73500,0.502
73600,0.503
73700,0.504
73800,0.505
73900,0.507
74000,0.508
74100,0.509
74200,0.509
74300,0.51
74400,0.511
74500,0.512
74600,0.514
74700,0.515
74800,0.516
74900,0.517
75000,0.517
75100,0.519
75200,0.52
75300,0.521
75400,0.522
75500,0.523
75600,0.524
75700,0.525
75800,0.527
75900,0.528
76000,0.529
76100,0.53
76200,0.531
76300,0.532
76400,0.534
76500,0.535
76600,0.537
76700,0.538
76800,0.54
76900,0.541
77000,0.542
77100,0.543
77200,0.544
77300,0.545
77400,0.547
77500,0.549
77600,0.551
77700,0.551
77800,0.552
77900,0.554
78000,0.555
78100,0.556
78200,0.557
78300,0.558
78400,0.579
78500,0.592
78600,0.594
78700,0.595
78800,0.596
78900,0.597
79000,0.598
79100,0.599
79200,0.6
79300,0.6
79400,0.601
79500,0.603
79600,0.604
79700,0.605
79800,0.607
79900,0.607
80000,0.608
80100,0.609
80200,0.61
80300,0.611
80400,0.612
80500,0.614
80600,0.616
80700,0.617
80800,0.619
80900,0.62
81000,0.622
81100,0.623
81200,0.624
81300,0.625
81400,0.626
81500,0.627
81600,0.628
81700,0.629
81800,0.631
81900,0.632
82000,0.633
82100,0.634
82200,0.635
82300,0.637
82400,0.639
82500,0.64
82600,0.641
82700,0.642
82800,0.643
82900,0.644
83000,0.645
83100,0.646
83200,0.647
83300,0.648
83400,0.649
83500,0.649
83600,0.651
83700,0.652
