x,time,time
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,0
1100,0,0
1200,0,0
1300,0,0
1400,0,0
1500,0.015,0
1600,0.015,0
1700,0.015,0
1800,0.015,0
1900,0.015,0
2000,0.015,0
2100,0.015,0
2200,0.015,0
2300,0.015,0
2400,0.015,0
2500,0.015,0
2600,0.015,0
2700,0.015,0
2800,0.016,0
2900,0.016,0
3000,0.016,0
3100,0.016,0
3200,0.016,0
3300,0.016,0
3400,0.016,0
3500,0.017,0.006
3600,0.017,0.006
3700,0.017,0.006
3800,0.017,0.006
3900,0.017,0.006
4000,0.017,0.006
4100,0.017,0.007
4200,0.018,0.007
4300,0.018,0.007
4400,0.018,0.007
4500,0.018,0.007
4600,0.018,0.008
4700,0.018,0.008
4800,0.019,0.008
4900,0.019,0.008
5000,0.019,0.008
5100,0.019,0.009
5200,0.019,0.009
5300,0.019,0.009
5400,0.019,0.009
5500,0.02,0.009
5600,0.02,0.009
5700,0.02,0.009
5800,0.02,0.01
5900,0.02,0.01
6000,0.02,0.01
6100,0.02,0.01
6200,0.021,0.01
6300,0.021,0.01
6400,0.021,0.011
6500,0.021,0.011
6600,0.021,0.011
6700,0.021,0.011
6800,0.022,0.011
6900,0.022,0.011
7000,0.022,0.012
7100,0.022,0.012
7200,0.022,0.012
7300,0.022,0.012
7400,0.023,0.012
7500,0.023,0.012
7600,0.023,0.013
7700,0.023,0.013
7800,0.023,0.013
7900,0.023,0.013
8000,0.024,0.013
8100,0.024,0.014
8200,0.024,0.014
8300,0.024,0.014
8400,0.024,0.014
8500,0.024,0.015
8600,0.025,0.015
8700,0.025,0.016
8800,0.025,0.016
8900,0.026,0.016
9000,0.026,0.016
9100,0.026,0.017
9200,0.026,0.017
9300,0.026,0.017
9400,0.027,0.018
9500,0.027,0.018
9600,0.027,0.018
9700,0.027,0.018
9800,0.027,0.018
9900,0.027,0.019
10000,0.027,0.019
10100,0.028,0.019
10200,0.028,0.019
10300,0.028,0.02
10400,0.028,0.02
10500,0.028,0.02
10600,0.029,0.021
10700,0.029,0.021
10800,0.029,0.021
10900,0.029,0.021
11000,0.029,0.021
11100,0.03,0.021
11200,0.03,0.022
11300,0.03,0.022
11400,0.03,0.022
11500,0.03,0.022
11600,0.03,0.022
11700,0.03,0.023
11800,0.03,0.023
11900,0.03,0.023
12000,0.033,0.023
12100,0.033,0.023
12200,0.034,0.023
12300,0.034,0.024
12400,0.035,0.024
12500,0.035,0.024
12600,0.035,0.024
12700,0.036,0.025
12800,0.036,0.025
12900,0.036,0.026
13000,0.036,0.026
13100,0.036,0.026
13200,0.037,0.026
13300,0.037,0.027
13400,0.037,0.028
13500,0.037,0.028
13600,0.037,0.029
13700,0.038,0.029
13800,0.038,0.029
13900,0.038,0.029
14000,0.038,0.03
14100,0.039,0.03
14200,0.039,0.03
14300,0.039,0.03
14400,0.04,0.031
14500,0.043,0.031
14600,0.043,0.031
14700,0.044,0.031
14800,0.044,0.032
14900,0.044,0.032
15000,0.044,0.033
15100,0.045,0.033
15200,0.045,0.034
15300,0.045,0.034
15400,0.045,0.035
15500,0.046,0.035
15600,0.046,0.035
15700,0.046,0.036
15800,0.047,0.036
15900,0.047,0.036
16000,0.048,0.037
16100,0.049,0.037
16200,0.05,0.037
16300,0.05,0.038
16400,0.05,0.038
16500,0.051,0.038
16600,0.051,0.039
16700,0.051,0.039
16800,0.052,0.039
16900,0.052,0.039
17000,0.052,0.04
17100,0.052,0.04
17200,0.053,0.04
17300,0.053,0.041
17400,0.053,0.041
17500,0.054,0.041
17600,0.054,0.042
17700,0.055,0.042
17800,0.055,0.044
17900,0.056,0.044
18000,0.056,0.045
18100,0.057,0.045
18200,0.057,0.046
18300,0.057,0.046
18400,0.058,0.046
18500,0.058,0.047
18600,0.058,0.047
18700,0.059,0.047
18800,0.059,0.048
18900,0.059,0.048
19000,0.06,0.049
19100,0.06,0.049
19200,0.06,0.049
19300,0.061,0.05
19400,0.061,0.05
19500,0.061,0.051
19600,0.062,0.051
19700,0.073,0.052
19800,0.074,0.052
19900,0.074,0.052
20000,0.088,0.053
20100,0.088,0.053
20200,0.098,0.053
20300,0.099,0.054
20400,0.099,0.054
20500,0.1,0.054
20600,0.1,0.054
20700,0.1,0.055
20800,0.101,0.055
20900,0.101,0.055
21000,0.102,0.056
21100,0.102,0.056
21200,0.103,0.056
21300,0.103,0.056
21400,0.104,0.057
21500,0.104,0.057
21600,0.105,0.058
21700,0.105,0.059
21800,0.105,0.059
21900,0.106,0.06
22000,0.106,0.06
22100,0.106,0.061
22200,0.107,0.061
22300,0.107,0.062
22400,0.107,0.062
22500,0.107,0.063
22600,0.108,0.063
22700,0.108,0.064
22800,0.108,0.064
22900,0.109,0.065
23000,0.109,0.065
23100,0.11,0.065
23200,0.11,0.066
23300,0.111,0.066
23400,0.111,0.067
23500,0.112,0.067
23600,0.112,0.067
23700,0.113,0.068
23800,0.113,0.068
23900,0.114,0.068
24000,0.114,0.069
24100,0.115,0.069
24200,0.115,0.07
24300,0.116,0.07
24400,0.116,0.07
